시도,시군구,읍면,도로명
강원도,강릉시,강동면,율곡로
강원도,강릉시,강동면,임곡로
강원도,강릉시,강동면,범울재길
강원도,강릉시,강동면,둔지길
강원도,강릉시,강동면,강동초교길
강원도,강릉시,강동면,단경로
강원도,강릉시,강동면,아래장작골길
강원도,강릉시,강동면,돌평길
강원도,강릉시,강동면,산두양지길
강원도,강릉시,강동면,버당길
강원도,강릉시,강동면,모전제방길
강원도,강릉시,강동면,동해대로
강원도,강릉시,강동면,언덕밑길
강원도,강릉시,강동면,윗장작골길
강원도,강릉시,강동면,오이양지길
강원도,강릉시,강동면,오이골말길
강원도,강릉시,강동면,오이동길
강원도,강릉시,강동면,오이성황길
강원도,강릉시,강동면,산성우리길
강원도,강릉시,강동면,시동서당길
강원도,강릉시,강동면,와천로
강원도,강릉시,강동면,풍호길
강원도,강릉시,강동면,시동윗길
강원도,강릉시,강동면,시동길
강원도,강릉시,강동면,독송길
강원도,강릉시,강동면,시동1길
강원도,강릉시,강동면,헌화로
강원도,강릉시,강동면,심곡봉화길
강원도,강릉시,강동면,대동안길
강원도,강릉시,강동면,원장봉길
강원도,강릉시,강동면,대동길
강원도,강릉시,강동면,염전길
강원도,강릉시,강동면,해돋이마을길
강원도,강릉시,강동면,대동제방길
강원도,강릉시,강동면,갯목길
강원도,강릉시,강동면,안인진길
강원도,강릉시,강동면,안인일출길
강원도,강릉시,강동면,언별땅재길
강원도,강릉시,강동면,정감1길
강원도,강릉시,강동면,송담서원길
강원도,강릉시,강동면,언별하평길
강원도,강릉시,강동면,정감2길
강원도,강릉시,강동면,임곡큰골길
강원도,강릉시,강동면,임곡절골길
강원도,강릉시,강동면,정동등명길
강원도,강릉시,강동면,정동3길
강원도,강릉시,강동면,정동역길
강원도,강릉시,강동면,정동5길
강원도,강릉시,강동면,괘방산길
강원도,강릉시,강동면,분소골길
강원도,강릉시,강동면,정동1길
강원도,강릉시,강동면,정동2길
강원도,강릉시,강동면,정동4길
강원도,강릉시,강동면,풍호안길
강원도,강릉시,강동면,시동2길
강원도,강릉시,강동면,새목이길
강원도,강릉시,,해안로
강원도,강릉시,,창해로
강원도,강릉시,,창해로350번길
강원도,강릉시,,해안로406번길
강원도,강릉시,,창해로370번길
강원도,강릉시,,창해로362번길
강원도,강릉시,,초당순두부길
강원도,강릉시,,난설헌로
강원도,강릉시,,난설헌로219번길
강원도,강릉시,,강릉대로
강원도,강릉시,,창해로2번길
강원도,강릉시,,창해로14번길
강원도,강릉시,,경강로
강원도,강릉시,,경강로2660번길
강원도,강릉시,,경강로2539번길
강원도,강릉시,,경강로2533번길
강원도,강릉시,,경강로2506번길
강원도,강릉시,,율곡로
강원도,강릉시,,화부산로40번길
강원도,강릉시,,종합운동장길
강원도,강릉시,,가작로
강원도,강릉시,,하슬라로
강원도,강릉시,,용지로
강원도,강릉시,,화부산로99번길
강원도,강릉시,,화부산로111번길
강원도,강릉시,,옥천로71번길
강원도,강릉시,,교동광장로
강원도,강릉시,,옛강일길38번길
강원도,강릉시,,수리골길17번길
강원도,강릉시,,강릉대로121번길
강원도,강릉시,,원대로8번길
강원도,강릉시,,하슬라로10번길
강원도,강릉시,,명륜로
강원도,강릉시,,율곡로2988번길
강원도,강릉시,,화부산로
강원도,강릉시,,율곡로2968번길
강원도,강릉시,,화부산로131번길
강원도,강릉시,,솔올로
강원도,강릉시,,화부산로8번길
강원도,강릉시,,가작로113번길
강원도,강릉시,,수리골길
강원도,강릉시,,율곡로2874번길
강원도,강릉시,,원대로
강원도,강릉시,,화부산로119번길
강원도,강릉시,,화부산로141번길
강원도,강릉시,,정원로
강원도,강릉시,,옛강일길
강원도,강릉시,,율곡로2953번길
강원도,강릉시,,경포로
강원도,강릉시,,명주로77번길
강원도,강릉시,,하슬라로20번길
강원도,강릉시,,화부산로117번길
강원도,강릉시,,율곡로2968번안길
강원도,강릉시,,가작로252번길
강원도,강릉시,,원대로62번길
강원도,강릉시,,임영로213번길
