시도,시군구,읍면,도로명
제주특별자치도,서귀포시,,선반로65번길
제주특별자치도,서귀포시,,신서로48번길
제주특별자치도,서귀포시,,엉또로
제주특별자치도,서귀포시,,말질로137번길
제주특별자치도,서귀포시,,말질로204번길
제주특별자치도,서귀포시,,중산간서로
제주특별자치도,서귀포시,,강정통물로
제주특별자치도,서귀포시,,말질로
제주특별자치도,서귀포시,,일주서로
제주특별자치도,서귀포시,,말질로161번길
제주특별자치도,서귀포시,,신서귀로97번길
제주특별자치도,서귀포시,,김정문화로27번길
제주특별자치도,서귀포시,,이어도로
제주특별자치도,서귀포시,,신중로
제주특별자치도,서귀포시,,김정문화로
제주특별자치도,서귀포시,,강정하로
제주특별자치도,서귀포시,,말질로225번길
제주특별자치도,서귀포시,,일주서로176번길
제주특별자치도,서귀포시,,신서로
제주특별자치도,서귀포시,,신서로122번길
제주특별자치도,서귀포시,,신중남로
제주특별자치도,서귀포시,,월드컵로
제주특별자치도,서귀포시,,선반로
제주특별자치도,서귀포시,,신서로114번길
제주특별자치도,서귀포시,,염돈로28번길
제주특별자치도,서귀포시,,용흥로66번길
제주특별자치도,서귀포시,,신중로13번길
제주특별자치도,서귀포시,,염돈로
제주특별자치도,서귀포시,,용흥로
제주특별자치도,서귀포시,,월드컵로84번길
제주특별자치도,서귀포시,,대청로
제주특별자치도,서귀포시,,대청로25번길
제주특별자치도,서귀포시,,용흥로38번길
제주특별자치도,서귀포시,,중산간서로157번길
제주특별자치도,서귀포시,,일주서로43번길
제주특별자치도,서귀포시,,법환로71번길
제주특별자치도,서귀포시,,신서로52번길
제주특별자치도,서귀포시,,신서로102번길
제주특별자치도,서귀포시,,신북로
제주특별자치도,서귀포시,,강정통물로83번길
제주특별자치도,서귀포시,,신서로98번길
제주특별자치도,서귀포시,,이어도로833번길
제주특별자치도,서귀포시,,강정통물로147번길
제주특별자치도,서귀포시,,신서귀로51번길
제주특별자치도,서귀포시,,일주서로237번길
제주특별자치도,서귀포시,,용흥로49번길
제주특별자치도,서귀포시,,신서로32번길
제주특별자치도,서귀포시,,신서로79번길
제주특별자치도,서귀포시,,말질로170번길
제주특별자치도,서귀포시,,말질로150번길
제주특별자치도,서귀포시,,신서로88번길
제주특별자치도,서귀포시,,법환로
제주특별자치도,서귀포시,,중산간서로200번길
제주특별자치도,서귀포시,,신월동로
제주특별자치도,서귀포시,,신서로108번길
제주특별자치도,서귀포시,,말질로213번길
제주특별자치도,서귀포시,,중산간서로242번길
제주특별자치도,서귀포시,,일주서로135번길
제주특별자치도,서귀포시,,선반로186번길
제주특별자치도,서귀포시,,중산간서로356번길
제주특별자치도,서귀포시,,월산로
제주특별자치도,서귀포시,,용흥로65번길
제주특별자치도,서귀포시,,월드컵로30번길
제주특별자치도,서귀포시,,선반로62번길
제주특별자치도,서귀포시,,선반로24번길
제주특별자치도,서귀포시,,선반로1번길
제주특별자치도,서귀포시,,신월동로30번길
제주특별자치도,서귀포시,,용흥악근천길
제주특별자치도,서귀포시,,용흥로33번길
제주특별자치도,서귀포시,,일주서로207번길
제주특별자치도,서귀포시,,고근산로
제주특별자치도,서귀포시,,신북로68번길
제주특별자치도,서귀포시,,신북로67번길
제주특별자치도,서귀포시,,신서귀로
제주특별자치도,서귀포시,남원읍,남한로
제주특별자치도,서귀포시,남원읍,남원회관로
제주특별자치도,서귀포시,남원읍,태위로
제주특별자치도,서귀포시,남원읍,태위로679번길
제주특별자치도,서귀포시,남원읍,남조로
